id_cliente;indica_amigo;n_indicacoes;tempo_empresa;ultima_oferta_aceita;contrata_telefonia;tarifa_linha;varias_linhas_telefonicas;internet_da_empresa;tipo_internet;tipo_contrato;faturamento_papel;tipo_pagamento;receita
3419-SNJJD;Yes;3;65;Offer B;Yes;18.39;Yes;Yes;Fiber Optic;Month-to-Month;No;Bank Withdrawal;7981.75
4554-YGZIH;Yes;3;49;Offer B;Yes;22.92;Yes;Yes;Fiber Optic;Month-to-Month;No;Credit Card;5670.33
5099-BAILX;Yes;1;43;Offer B;Yes;14.52;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;5312.26
4913-EHYUI;No;0;56;Offer B;Yes;48.8;Yes;Yes;Fiber Optic;One Year;Yes;Bank Withdrawal;8527.45
1626-ERCMM;Yes;7;20;None;Yes;5.31;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;2005.85
5644-PDMZC;No;0;2;None;Yes;47.47;Yes;Yes;Fiber Optic;Month-to-Month;No;Bank Withdrawal;256.44
0823-HSCDJ;No;0;52;None;No;0;No;Yes;DSL;Month-to-Month;Yes;Bank Withdrawal;2580.9
0067-DKWBL;No;0;2;None;Yes;43.99;No;Yes;DSL;Month-to-Month;Yes;Bank Withdrawal;179.08
5244-IRFIH;Yes;1;33;None;Yes;27.78;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;4022.29
2684-EIWEO;No;0;30;None;Yes;45.88;Yes;Yes;Fiber Optic;Month-to-Month;No;Credit Card;4134.55
6683-VLCTZ;No;0;20;None;Yes;44.44;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;2851.6
0691-IFBQW;No;0;46;None;Yes;2.37;Yes;Yes;Fiber Optic;One Year;Yes;Bank Withdrawal;4983.82
3643-AHCFP;Yes;1;7;None;Yes;21.91;Yes;Yes;Cable;Month-to-Month;Yes;Bank Withdrawal;797.72
9231-ZJYAM;No;0;4;None;Yes;36.93;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;440.52
0727-BMPLR;No;0;55;None;Yes;37.38;Yes;Yes;Fiber Optic;One Year;Yes;Bank Withdrawal;7665.2
0947-MUGVO;Yes;1;20;None;Yes;5.37;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;1570.9
0781-LKXBR;No;0;9;None;Yes;48.71;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;1356.99
1907-UBQFC;No;0;10;None;Yes;5.46;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;773.25
6513-EECDB;No;0;1;None;Yes;36.92;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;110.47
7074-IEVOJ;No;0;3;None;Yes;41.9;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;330.75
4750-ZRXIU;No;0;4;None;Yes;6.68;Yes;Yes;Cable;Month-to-Month;Yes;Bank Withdrawal;386.82
7028-DVOIQ;No;0;35;None;Yes;20.83;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;4244.85
4208-UFFGW;No;0;2;Offer E;Yes;26.62;No;Yes;DSL;Month-to-Month;No;Credit Card;138.39
9889-TMAHG;No;0;8;None;Yes;11.57;No;Yes;Fiber Optic;Month-to-Month;No;Credit Card;924.91
8919-FYFQZ;Yes;2;44;None;No;0;No;Yes;Cable;Month-to-Month;Yes;Bank Withdrawal;1359.7
6646-QVXLR;Yes;1;62;None;Yes;7.11;Yes;Yes;Fiber Optic;One Year;Yes;Bank Withdrawal;6824.17
9369-XFEHK;Yes;1;33;None;Yes;33.19;Yes;Yes;Cable;Month-to-Month;Yes;Bank Withdrawal;3751.77
1374-DMZUI;No;0;4;Offer E;Yes;49.5;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;622.45
1989-PRJHP;Yes;1;27;None;Yes;10.6;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;2180.15
4822-RVYBB;No;0;8;Offer E;Yes;40.45;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;1143
4184-TJFAN;Yes;1;3;Offer E;Yes;25.77;No;Yes;Fiber Optic;Month-to-Month;Yes;Mailed Check;351.06
4145-UQXUQ;No;0;8;Offer E;Yes;42.93;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;1073.39
1236-WFCDV;No;0;14;None;Yes;11.31;No;Yes;Fiber Optic;Month-to-Month;No;Credit Card;1424.44
1271-SJBGZ;No;0;12;None;No;0;No;Yes;DSL;Month-to-Month;Yes;Bank Withdrawal;526.95
4441-NIHPT;No;0;13;None;Yes;40.37;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;1465.16
8999-BOHSE;No;0;11;None;Yes;3.96;No;Yes;Fiber Optic;Month-to-Month;No;Bank Withdrawal;1091.26
7029-RPUAV;Yes;1;17;None;Yes;28.18;Yes;Yes;Cable;Month-to-Month;Yes;Credit Card;2101.51
8111-SLLHI;Yes;1;39;None;Yes;33.25;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;5581.55
5293-WXJAK;Yes;5;11;None;Yes;17.25;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;1323.4
4086-YQSNZ;Yes;1;3;Offer E;Yes;3.29;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;233.92
8399-YNDCH;No;0;21;None;Yes;34.62;No;Yes;DSL;Month-to-Month;Yes;Bank Withdrawal;1963.17
5565-FILXA;No;0;16;None;Yes;38.75;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;2149.2
4187-CINZD;No;0;46;None;Yes;6.13;No;Yes;Fiber Optic;One Year;No;Credit Card;4706.18
6818-WOBHJ;Yes;1;68;Offer A;Yes;24.13;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;7768.44
9134-CEQMF;Yes;1;7;Offer E;Yes;13.63;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;772.11
8519-IMDHU;Yes;1;15;None;Yes;45.25;Yes;Yes;Cable;Month-to-Month;Yes;Bank Withdrawal;2024.3
3372-KWFBM;No;0;16;None;Yes;19.18;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;1587.88
7206-GZCDC;No;0;1;Offer E;Yes;29.68;No;Yes;Cable;Month-to-Month;Yes;Bank Withdrawal;98.93
1768-ZAIFU;No;0;1;None;No;0;No;Yes;Cable;Month-to-Month;Yes;Bank Withdrawal;25.2
3793-MMFUH;No;0;13;None;Yes;19.03;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;1537.39
8621-MNIHH;Yes;1;34;None;Yes;2.88;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;3315.47
5419-CONWX;No;0;4;None;Yes;12.68;No;Yes;Fiber Optic;Month-to-Month;Yes;Credit Card;493.57
7024-OHCCK;No;0;2;None;Yes;19.27;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;209.39
5357-TZHPP;No;0;9;None;Yes;30.8;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Credit Card;1009.7
0506-LVNGN;No;0;5;None;Yes;42.33;No;Yes;Fiber Optic;Month-to-Month;Yes;Credit Card;561.3
9809-IMGCQ;No;0;22;Offer D;Yes;40.18;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;3066.91
3254-YRILK;No;0;19;Offer D;Yes;39.97;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;2535.23
0529-ONKER;No;0;15;Offer D;Yes;46.38;Yes;Yes;Fiber Optic;Month-to-Month;No;Bank Withdrawal;1842.35
5240-IJOQT;No;0;1;None;Yes;11.34;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;86.04
0661-XEYAN;No;0;1;None;No;0;No;Yes;DSL;Month-to-Month;Yes;Mailed Check;45.8
2660-EMUBI;No;0;10;Offer D;Yes;41.37;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;1312.05
7675-OZCZG;No;0;3;None;Yes;30.14;No;Yes;DSL;Month-to-Month;No;Bank Withdrawal;227.52
9391-EOYLI;Yes;1;12;Offer D;Yes;6.97;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;1033.84
2761-OCIAX;No;0;2;None;Yes;6.51;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;178.42
3068-OMWZA;No;0;1;None;Yes;49.6;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;148.4
4154-AQUGT;Yes;1;13;Offer D;Yes;1.47;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;1188.46
8017-LXHFA;No;0;23;Offer D;Yes;31.17;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;3010.51
4248-QPAVC;Yes;1;17;Offer D;Yes;36.82;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;2089.39
4690-LLKUA;No;0;17;None;Yes;40.93;No;Yes;DSL;Month-to-Month;Yes;Bank Withdrawal;1466.41
9490-DFPMD;No;0;42;None;Yes;9.53;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;3941.61
8580-AECUZ;No;0;1;None;Yes;42.3;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;121.4
8375-DKEBR;No;0;1;Offer E;Yes;34.51;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;104.11
7279-BUYWN;No;0;41;None;Yes;27.95;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;5835.45
7156-MHUGY;No;0;13;None;Yes;26.11;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;1650.74
9606-PBKBQ;Yes;1;32;None;Yes;5.99;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;2784.16
3536-IQCTX;Yes;1;32;None;Yes;49.6;Yes;Yes;Fiber Optic;Month-to-Month;No;Bank Withdrawal;4248.3
3132-TVFDZ;Yes;1;57;None;No;0;No;Yes;Cable;Month-to-Month;Yes;Bank Withdrawal;2560.88
8080-DDEMJ;No;0;1;Offer E;Yes;15.28;No;Yes;Cable;Month-to-Month;No;Bank Withdrawal;60.38
6702-OHFWR;No;0;1;Offer E;No;0;No;Yes;DSL;Month-to-Month;Yes;Bank Withdrawal;43.3
4510-PYUSH;No;0;38;None;Yes;26.1;No;Yes;DSL;Month-to-Month;Yes;Credit Card;3242.45
8840-DQLGN;Yes;1;35;None;Yes;15.98;Yes;Yes;Cable;Month-to-Month;Yes;Bank Withdrawal;4212.65
4193-ORFCL;No;0;1;Offer E;Yes;15.24;No;Yes;DSL;Month-to-Month;No;Credit Card;60.34
7776-QWNFX;Yes;1;30;None;Yes;4.65;No;Yes;DSL;Month-to-Month;Yes;Bank Withdrawal;1667
6689-TCZHQ;No;0;5;Offer E;Yes;12.27;No;Yes;Fiber Optic;Month-to-Month;No;Bank Withdrawal;439.75
9497-QCMMS;No;0;1;Offer E;Yes;30.17;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;123.72
3424-NMNBO;Yes;1;58;None;Yes;49.38;Yes;Yes;Fiber Optic;One Year;Yes;Bank Withdrawal;9151.29
4514-GFCFI;No;0;16;None;Yes;17.51;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;1630.31
8000-REIQB;No;0;1;Offer E;Yes;22.5;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;102.45
4795-KTRTH;Yes;1;5;Offer E;Yes;47.28;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;577.41
6179-GJPSO;No;0;43;None;Yes;31.83;No;Yes;Fiber Optic;Month-to-Month;Yes;Credit Card;5969.39
8290-YWKHZ;Yes;1;32;None;Yes;33.74;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;3992.8
8051-HJRLT;No;0;1;Offer E;Yes;18.2;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;88.75
4021-RQSNY;Yes;1;29;None;Yes;25.78;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;3754.22
9061-TIHDA;Yes;1;13;None;Yes;31.7;Yes;Yes;Cable;Month-to-Month;Yes;Bank Withdrawal;1597.66
8699-ASUFO;Yes;1;7;None;Yes;8.92;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Credit Card;557.88
4695-WJZUE;No;0;2;None;Yes;21.57;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;222.39
3988-RQIXO;No;0;1;None;Yes;43.61;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;134.91
5931-FLJJF;Yes;1;7;None;Yes;16.05;No;Yes;Fiber Optic;Month-to-Month;Yes;Credit Card;559.67
3207-OYBWH;Yes;1;57;None;Yes;49.91;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;8259.33
7216-EWTRS;Yes;4;1;None;Yes;17.35;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;118.15
2528-HFYZX;Yes;2;17;None;Yes;1.05;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;1251.25
4140-MUHUG;No;0;3;None;Yes;18.38;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;276.09
1587-FKLZB;Yes;1;66;Offer A;Yes;28.86;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Credit Card;8726.91
5440-FLBQG;Yes;1;69;Offer A;Yes;48.88;Yes;Yes;Fiber Optic;Two Year;Yes;Bank Withdrawal;10690.92
2774-LVQUS;Yes;2;15;None;Yes;44.13;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;2030.25
4612-THJBS;No;0;56;None;Yes;34.58;Yes;Yes;Fiber Optic;One Year;Yes;Bank Withdrawal;7447.13
4094-NSEDU;No;0;21;None;Yes;21.15;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;2417.9
1846-XWOQN;No;0;1;None;Yes;47.97;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;118.12
3757-NJYBX;Yes;3;32;None;Yes;7.92;Yes;Yes;Fiber Optic;Month-to-Month;No;Bank Withdrawal;3774.19
8263-JQAIK;No;0;2;None;No;0;No;Yes;DSL;Month-to-Month;Yes;Credit Card;47.5
2205-YMZZJ;No;0;7;None;Yes;39.51;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;823.52
1254-IZEYF;No;0;31;None;Yes;39.36;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;4406.81
9221-OTIVJ;No;0;14;None;Yes;29.96;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;1950.84
5908-QMGOE;No;0;15;None;Yes;23.53;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Credit Card;1443.54
0397-GZBBC;No;0;59;None;Yes;10.78;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;6202.64
7641-EUYET;Yes;3;46;None;Yes;49.11;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;6753.62
8245-UMPYT;No;0;16;None;Yes;32.11;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;2047.76
5186-SAMNZ;No;0;1;None;Yes;41.2;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;190.7
5373-SFODM;Yes;1;36;None;Yes;24.54;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Credit Card;4016.19
0022-TCJCI;No;0;45;None;Yes;10.67;No;Yes;DSL;One Year;No;Credit Card;3271.65
5130-IEKQT;No;0;25;Offer C;Yes;46.34;Yes;Yes;Fiber Optic;Month-to-Month;No;Credit Card;3813.75
3269-ATYWD;No;0;39;Offer C;Yes;41.93;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;5544.32
0354-WYROK;Yes;1;31;Offer C;Yes;47.95;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;4397.75
7576-OYWBN;No;0;3;None;Yes;30.25;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;322.55
5539-TMZLF;No;0;1;None;Yes;33.84;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;103.59
3336-JORSO;No;0;33;Offer C;Yes;17.24;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;4294.37
6861-XWTWQ;Yes;1;7;None;Yes;42.92;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;965.89
4283-FUTGF;No;0;19;None;Yes;16.78;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;1790.57
2397-BRLOM;Yes;2;8;None;Yes;26.99;No;Yes;Fiber Optic;Month-to-Month;Yes;Credit Card;799.37
8510-AWCXC;No;0;13;Offer D;Yes;7.22;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;1401.96
8225-BTJAU;No;0;10;Offer D;Yes;7.51;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;868.65
1724-BQUHA;No;0;5;None;Yes;45.72;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;706.3
4826-XTSOH;No;0;1;None;Yes;38.78;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;124.83
2408-WITXK;No;0;10;Offer D;No;0;No;Yes;DSL;Month-to-Month;Yes;Bank Withdrawal;329.8
2634-HCZGT;Yes;1;53;None;Yes;21.67;Yes;Yes;Cable;One Year;Yes;Bank Withdrawal;4478.16
7503-QQRVF;Yes;1;16;Offer D;Yes;26.12;No;Yes;Fiber Optic;Month-to-Month;Yes;Credit Card;1596.17
0709-TVGUR;No;0;9;None;Yes;17.56;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;747.69
3001-CBHLQ;Yes;1;32;Offer C;Yes;43.51;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;4710.14
4102-OQUPX;Yes;1;1;None;Yes;17.36;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;121.76
3999-QGRJH;No;0;8;None;Yes;14.89;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;679.97
2454-RPBRZ;Yes;1;12;Offer D;Yes;30.63;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;1378.7
2265-CYWIV;Yes;1;4;None;Yes;18.91;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;397.5
4550-VBOFE;Yes;1;70;None;Yes;17.45;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;8307.76
7409-KIUTL;No;0;1;None;Yes;28.64;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;99.64
1732-VHUBQ;Yes;1;47;None;Yes;26.95;No;Yes;Fiber Optic;Month-to-Month;No;Bank Withdrawal;4548.91
0679-IDSTG;Yes;1;1;None;Yes;37.3;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;106.55
8802-UNOJF;No;0;12;Offer D;Yes;28.63;No;Yes;Cable;Month-to-Month;Yes;Credit Card;1408.73
6313-GIDIT;No;0;53;None;No;0;No;Yes;DSL;Month-to-Month;Yes;Bank Withdrawal;2834.39
2845-AFFTX;No;0;41;None;Yes;22.56;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;5175.38
2815-CPTUL;No;0;5;None;Yes;2.27;No;Yes;Fiber Optic;Month-to-Month;Yes;Credit Card;330.77
1891-FZYSA;Yes;1;69;None;Yes;16.34;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;7373.82
9685-WKZGT;No;0;14;Offer D;Yes;16.32;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;1225.94
6022-UGGSO;No;0;32;Offer C;Yes;33.22;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;3295.68
3923-CSIHK;Yes;1;50;None;Yes;4.6;No;Yes;Cable;Month-to-Month;Yes;Bank Withdrawal;3674.85
3677-IYRBF;No;0;2;None;No;0;No;Yes;DSL;Month-to-Month;Yes;Bank Withdrawal;78.65
8118-LSUEL;No;0;23;None;Yes;17.62;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;2888.76
5277-ZLOOR;No;0;2;Offer E;Yes;5.49;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;198.43
4248-HCETZ;Yes;1;30;Offer C;Yes;6.23;No;Yes;Fiber Optic;Month-to-Month;Yes;Credit Card;2552.05
9174-FKWZE;No;0;1;None;Yes;22.92;No;No;None;Month-to-Month;Yes;Bank Withdrawal;42.37
5307-DZCVC;No;0;32;Offer C;Yes;48.95;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Credit Card;4195
8679-JOEVF;No;0;16;None;Yes;36.83;No;Yes;DSL;Month-to-Month;No;Bank Withdrawal;1613.18
4803-AXVYP;No;0;38;Offer C;Yes;47.39;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;5535.07
5649-ANRML;No;0;2;Offer E;Yes;12.96;No;Yes;Fiber Optic;Month-to-Month;Yes;Credit Card;206.17
7395-IGJOS;Yes;1;17;None;Yes;9.5;No;Yes;Fiber Optic;Month-to-Month;No;Bank Withdrawal;1490.7
7890-VYYWG;Yes;1;3;Offer E;No;0;No;Yes;DSL;Month-to-Month;Yes;Credit Card;93.7
9907-SWKKF;No;0;1;Offer E;No;0;No;Yes;DSL;Month-to-Month;No;Credit Card;25.05
6397-JNZZG;Yes;1;43;Offer B;No;0;No;Yes;DSL;Month-to-Month;No;Credit Card;2342.2
7779-LGOVN;Yes;2;10;None;Yes;46.5;Yes;Yes;Cable;Month-to-Month;Yes;Bank Withdrawal;1321.65
9710-ZUSHQ;No;0;37;Offer C;Yes;41.85;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;5605.2
3902-FOIGH;Yes;1;12;None;Yes;48.5;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;1800.55
3318-OSATS;No;0;35;Offer C;Yes;35.1;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;4782.55
2636-ALXXZ;No;0;1;Offer E;Yes;45.8;No;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;115.4
9885-CSMWE;No;0;1;Offer E;Yes;18.37;No;Yes;Fiber Optic;Month-to-Month;No;Bank Withdrawal;96.82
8058-JMEQO;No;0;9;Offer E;Yes;12.91;Yes;Yes;Fiber Optic;Month-to-Month;Yes;Bank Withdrawal;878.69
