id_cliente;status;categoria_churn;saida_trimestre
4795-KTRTH;Churned;Competitor;Yes
9961-JBNMK;Churned;Dissatisfaction;Yes
6179-GJPSO;Churned;Competitor;Yes
8290-YWKHZ;Churned;Competitor;Yes
8051-HJRLT;Churned;Attitude;Yes
4021-RQSNY;Churned;Attitude;Yes
9061-TIHDA;Churned;Competitor;Yes
8699-ASUFO;Churned;Attitude;Yes
4695-WJZUE;Churned;Competitor;Yes
3988-RQIXO;Churned;Attitude;Yes
5931-FLJJF;Churned;Attitude;Yes
3207-OYBWH;Churned;Attitude;Yes
7216-EWTRS;Churned;Attitude;Yes
2528-HFYZX;Churned;Competitor;Yes
4140-MUHUG;Churned;Attitude;Yes
1587-FKLZB;Churned;Competitor;Yes
5440-FLBQG;Churned;Attitude;Yes
2774-LVQUS;Churned;Competitor;Yes
4612-THJBS;Churned;Attitude;Yes
4094-NSEDU;Churned;Competitor;Yes
1846-XWOQN;Churned;Competitor;Yes
3757-NJYBX;Churned;Other;Yes
9898-KZQDZ;Churned;Competitor;Yes
8263-JQAIK;Churned;Competitor;Yes
2205-YMZZJ;Churned;Competitor;Yes
1254-IZEYF;Churned;Competitor;Yes
9221-OTIVJ;Churned;Dissatisfaction;Yes
5908-QMGOE;Churned;Competitor;Yes
0397-GZBBC;Churned;Price;Yes
7641-EUYET;Churned;Dissatisfaction;Yes
8922-LIEGH;Churned;Dissatisfaction;Yes
8245-UMPYT;Churned;Dissatisfaction;Yes
5186-SAMNZ;Churned;Price;Yes
5373-SFODM;Churned;Dissatisfaction;Yes
0022-TCJCI;Churned;Dissatisfaction;Yes
5130-IEKQT;Churned;Price;Yes
3269-ATYWD;Churned;Other;Yes
0354-WYROK;Churned;Other;Yes
7576-OYWBN;Churned;Competitor;Yes
5539-TMZLF;Churned;Competitor;Yes
3336-JORSO;Churned;Dissatisfaction;Yes
6861-XWTWQ;Churned;Attitude;Yes
4283-FUTGF;Churned;Dissatisfaction;Yes
2397-BRLOM;Churned;Other;Yes
8510-AWCXC;Churned;Attitude;Yes
8225-BTJAU;Churned;Competitor;Yes
1724-BQUHA;Churned;Attitude;Yes
4826-XTSOH;Churned;Competitor;Yes
2408-WITXK;Churned;Other;Yes
2634-HCZGT;Churned;Other;Yes
7503-QQRVF;Churned;Competitor;Yes
0709-TVGUR;Churned;Competitor;Yes
3001-CBHLQ;Churned;Attitude;Yes
4102-OQUPX;Churned;Competitor;Yes
3999-QGRJH;Churned;Dissatisfaction;Yes
2454-RPBRZ;Churned;Dissatisfaction;Yes
2265-CYWIV;Churned;Dissatisfaction;Yes
4550-VBOFE;Churned;Competitor;Yes
7409-KIUTL;Churned;Competitor;Yes
1732-VHUBQ;Churned;Competitor;Yes
0679-IDSTG;Churned;Competitor;Yes
8802-UNOJF;Churned;Competitor;Yes
6313-GIDIT;Churned;Price;Yes
2845-AFFTX;Churned;Dissatisfaction;Yes
2815-CPTUL;Churned;Price;Yes
1891-FZYSA;Churned;Competitor;Yes
9685-WKZGT;Churned;Price;Yes
6022-UGGSO;Churned;Competitor;Yes
3923-CSIHK;Churned;Other;Yes
3677-IYRBF;Churned;Attitude;Yes
8118-LSUEL;Churned;Dissatisfaction;Yes
5277-ZLOOR;Churned;Dissatisfaction;Yes
4248-HCETZ;Churned;Attitude;Yes
9174-FKWZE;Churned;Dissatisfaction;Yes
5307-DZCVC;Churned;Price;Yes
8679-JOEVF;Churned;Price;Yes
4803-AXVYP;Churned;Dissatisfaction;Yes
5649-ANRML;Churned;Other;Yes
7395-IGJOS;Churned;Competitor;Yes
7890-VYYWG;Churned;Competitor;Yes
9907-SWKKF;Churned;Competitor;Yes
6397-JNZZG;Churned;Competitor;Yes
7779-LGOVN;Churned;Dissatisfaction;Yes
9710-ZUSHQ;Churned;Price;Yes
3902-FOIGH;Churned;Dissatisfaction;Yes
3318-OSATS;Churned;Other;Yes
2636-ALXXZ;Churned;Dissatisfaction;Yes
9885-CSMWE;Churned;Dissatisfaction;Yes
8058-JMEQO;Churned;Competitor;Yes
7657-DYEPJ;Churned;Price;Yes
8276-MQBYC;Churned;Price;Yes
6015-VVHHE;Churned;Dissatisfaction;Yes
2516-VQRRV;Churned;Price;Yes
7580-UGXNC;Churned;Price;Yes
5178-LMXOP;Churned;Price;Yes
7056-IMHCC;Churned;Price;Yes
8749-JMNKX;Churned;Dissatisfaction;Yes
0917-EZOLA;Churned;Price;Yes
8414-MYSHR;Churned;Dissatisfaction;Yes
4988-IQIGL;Churned;Attitude;Yes
4706-AXVKM;Churned;Price;Yes
5889-JTMUL;Churned;Price;Yes
9026-RNUJS;Churned;Dissatisfaction;Yes
1624-NALOJ;Churned;Other;Yes
6210-KBBPI;Churned;Competitor;Yes
2260-USTRB;Churned;Competitor;Yes
8623-TMRBY;Churned;Competitor;Yes
6900-PXRMS;Churned;Dissatisfaction;Yes
3346-BRMIS;Churned;Dissatisfaction;Yes
2722-JMONI;Churned;Dissatisfaction;Yes
7579-OOPEC;Churned;Competitor;Yes
1771-OADNZ;Churned;Price;Yes
0612-RTZZA;Churned;Price;Yes
4433-JCGCG;Churned;Competitor;Yes
9488-HGMJH;Churned;Competitor;Yes
4818-QIUFN;Churned;Attitude;Yes
6961-VCPMC;Churned;Competitor;Yes
4424-TKOPW;Churned;Price;Yes
4201-JMNGR;Churned;Dissatisfaction;Yes
1866-RZZQS;Churned;Competitor;Yes
8631-NBHFZ;Churned;Competitor;Yes
4958-XCBDQ;Churned;Competitor;Yes
8337-UPOAQ;Churned;Competitor;Yes
6712-OAWRH;Churned;Attitude;Yes
5914-DVBWJ;Churned;Competitor;Yes
8644-XLFBW;Churned;Competitor;Yes
1833-VGRUM;Churned;Price;Yes
8374-XGEJJ;Churned;Dissatisfaction;Yes
6946-LMSQS;Churned;Competitor;Yes
4039-HEUNW;Churned;Price;Yes
0812-WUPTB;Churned;Price;Yes
2403-BCASL;Churned;Other;Yes
3871-IKPYH;Churned;Other;Yes
1304-NECVQ;Churned;Competitor;Yes
5655-JSMZM;Churned;Attitude;Yes
4505-EXZHB;Churned;Competitor;Yes
8972-HJWNV;Churned;Competitor;Yes
2860-RANUS;Churned;Price;Yes
0406-BPDVR;Churned;Price;Yes
5276-KQWHG;Churned;Price;Yes
9667-EQRXU;Churned;Other;Yes
0946-CLJTI;Churned;Competitor;Yes
0324-BRPCJ;Churned;Competitor;Yes
9189-JWSHV;Churned;Price;Yes
0576-WNXXC;Churned;Dissatisfaction;Yes
5482-PLVPE;Churned;Competitor;Yes
4902-OHLSK;Churned;Attitude;Yes
0495-ZBNGW;Churned;Competitor;Yes
2357-COQEK;Churned;Competitor;Yes
2034-CGRHZ;Churned;Attitude;Yes
9360-AHGNL;Churned;Dissatisfaction;Yes
5485-WUYWF;Churned;Price;Yes
2632-UCGVD;Churned;Price;Yes
6425-YQLLO;Churned;Other;Yes
2091-RFFBA;Churned;Attitude;Yes
6899-PPEEA;Churned;Attitude;Yes
4597-NUCQV;Churned;Attitude;Yes
3754-DXMRT;Churned;Attitude;Yes
7130-VTEWQ;Churned;Competitor;Yes
7903-CMPEY;Churned;Competitor;Yes
1704-NRWYE;Churned;Attitude;Yes
7481-ATQQS;Churned;Attitude;Yes
0023-HGHWL;Churned;Competitor;Yes
1792-UXAFY;Churned;Dissatisfaction;Yes
6161-UUUTA;Churned;Price;Yes
6543-XRMYR;Churned;Dissatisfaction;Yes
2479-BRAMR;Churned;Competitor;Yes
3714-JTVOV;Churned;Attitude;Yes
8580-QVLOC;Churned;Competitor;Yes
2012-NWRPA;Churned;Competitor;Yes
8808-ELEHO;Churned;Price;Yes
9058-CBREO;Churned;Dissatisfaction;Yes
8063-GBATB;Churned;Competitor;Yes
1069-XAIEM;Churned;Competitor;Yes
6987-XQSJT;Churned;Attitude;Yes
0722-TROQR;Churned;Price;Yes
6402-ZFPPI;Churned;Price;Yes
9965-YOKZB;Churned;Dissatisfaction;Yes
0504-HHAPI;Churned;Other;Yes
3791-LGQCY;Churned;Attitude;Yes
8166-ZZTFS;Churned;Attitude;Yes
2956-GGUCQ;Churned;Attitude;Yes
2778-OCLGR;Churned;Competitor;Yes
7067-KSAZT;Churned;Competitor;Yes
9300-AGZNL;Churned;Dissatisfaction;Yes
1112-CUNAO;Churned;Dissatisfaction;Yes
3389-YGYAI;Churned;Price;Yes
3070-DVEYC;Churned;Attitude;Yes
5707-ORNDZ;Churned;Dissatisfaction;Yes
8696-JKZNU;Churned;Other;Yes
2055-PDADH;Churned;Other;Yes
2302-ANTDP;Churned;Competitor;Yes
5233-GEEAX;Churned;Competitor;Yes
7137-RYLPP;Churned;Competitor;Yes
3957-LXOLK;Churned;Competitor;Yes
5281-BUZGT;Churned;Competitor;Yes
2718-GAXQD;Churned;Competitor;Yes
3217-FZDMN;Churned;Competitor;Yes
7480-QNVZJ;Churned;Dissatisfaction;Yes
7124-UGSUR;Churned;Competitor;Yes
1862-SKORY;Churned;Competitor;Yes
4816-JBHOV;Churned;Competitor;Yes
3247-ZVOUO;Churned;Attitude;Yes
1268-ASBGA;Churned;Dissatisfaction;Yes
4713-LZDRV;Churned;Price;Yes
4325-NFSKC;Churned;Price;Yes
6502-HCJTI;Churned;Attitude;Yes
8258-GSTJK;Churned;Competitor;Yes
2995-UPRYS;Churned;Other;Yes
6686-YPGHK;Churned;Other;Yes
8020-BWHYL;Churned;Competitor;Yes
6892-XPFPU;Churned;Competitor;Yes
8010-EZLOU;Churned;Competitor;Yes
8062-YBDOE;Churned;Other;Yes
3672-YITQD;Churned;Competitor;Yes
8988-ECPJR;Churned;Dissatisfaction;Yes
3776-EKTKM;Churned;Dissatisfaction;Yes
0643-OKLRP;Churned;Dissatisfaction;Yes
9381-NDKME;Churned;Dissatisfaction;Yes
8327-LZKAS;Churned;Dissatisfaction;Yes
1075-BGWOH;Churned;Attitude;Yes
8485-GJCDN;Churned;Competitor;Yes
6029-WTIPC;Churned;Competitor;Yes
3317-HRTNN;Churned;Competitor;Yes
5569-OUICF;Churned;Competitor;Yes
5747-PMBSQ;Churned;Competitor;Yes
2982-IHMFT;Churned;Competitor;Yes
5143-EGQFK;Churned;Other;Yes
6168-WFVVF;Churned;Competitor;Yes
7450-NWRTR;Churned;Competitor;Yes
6005-OBZPH;Churned;Other;Yes
7932-WPTDS;Churned;Competitor;Yes
7000-WCEVQ;Churned;Price;Yes
5959-BELXA;Churned;Price;Yes
2506-TNFCO;Churned;Dissatisfaction;Yes
6060-DRTNL;Churned;Competitor;Yes
8473-VUVJN;Churned;Attitude;Yes
0196-VULGZ;Churned;Other;Yes
1976-CFOCS;Churned;Competitor;Yes
4631-OACRM;Churned;Competitor;Yes
3755-JBMNH;Churned;Competitor;Yes
6345-ULYRW;Churned;Competitor;Yes
0013-EXCHZ;Churned;Dissatisfaction;Yes
5550-VFRLC;Churned;Dissatisfaction;Yes
2657-ALMWY;Churned;Price;Yes
6284-AHOOQ;Churned;Other;Yes
2460-FPSYH;Churned;Attitude;Yes
5028-HTLJB;Churned;Price;Yes
0875-CABNR;Churned;Attitude;Yes
6982-UQZLY;Churned;Attitude;Yes
0193-ESZXP;Churned;Attitude;Yes
4369-HTUIF;Churned;Attitude;Yes
5287-QWLKY;Churned;Attitude;Yes
1891-UAWWU;Churned;Competitor;Yes
3096-JRDSO;Churned;Competitor;Yes
2398-YPMUR;Churned;Other;Yes
1265-XTECC;Churned;Attitude;Yes
4871-JTKJF;Churned;Attitude;Yes
1415-YFWLT;Churned;Competitor;Yes
3500-RMZLT;Churned;Attitude;Yes
2642-DTVCO;Churned;Attitude;Yes
1363-TXLSL;Churned;Competitor;Yes
7136-RVDTZ;Churned;Attitude;Yes
6927-WTFIV;Churned;Attitude;Yes
3398-ZOUAA;Churned;Attitude;Yes
4844-JJWUY;Churned;Competitor;Yes
4785-QRJHC;Churned;Competitor;Yes
1965-AKTSX;Churned;Competitor;Yes
7248-VZQLC;Churned;Price;Yes
0011-IGKFF;Churned;Dissatisfaction;Yes
6496-SLWHQ;Churned;Attitude;Yes
9912-GVSEQ;Churned;Dissatisfaction;Yes
5383-MMTWC;Churned;Dissatisfaction;Yes
6877-LGWXO;Churned;Attitude;Yes
5167-GBFRE;Churned;Other;Yes
1324-NLTJE;Churned;Other;Yes
5567-WSELE;Churned;Competitor;Yes
6646-VRFOL;Churned;Competitor;Yes
9090-SGQXL;Churned;Competitor;Yes
6595-YGXIT;Churned;Competitor;Yes
9835-ZIITK;Churned;Competitor;Yes
5649-TJHOV;Churned;Dissatisfaction;Yes
9253-QXKBE;Churned;Competitor;Yes
8775-LHDJH;Churned;Other;Yes
3097-NQYSN;Churned;Competitor;Yes
3565-UNOCC;Churned;Competitor;Yes
9190-MFJLN;Churned;Competitor;Yes
1095-JUDTC;Churned;Competitor;Yes
5385-SUIRI;Churned;Competitor;Yes
6328-ZPBGN;Churned;Price;Yes
2856-NNASM;Churned;Dissatisfaction;Yes
6769-DYBQN;Churned;Attitude;Yes
2446-BEGGB;Churned;Attitude;Yes
1496-GGSUK;Churned;Attitude;Yes
3296-SILRA;Churned;Attitude;Yes
5180-UCIIQ;Churned;Other;Yes
1977-STDKI;Churned;Competitor;Yes
5813-UECBU;Churned;Competitor;Yes
4342-HENTK;Churned;Competitor;Yes
1597-LHYNC;Churned;Price;Yes
8651-ENBZX;Churned;Price;Yes
9286-DOJGF;Churned;Dissatisfaction;Yes
9661-MHUMO;Churned;Dissatisfaction;Yes
8884-ADFVN;Churned;Other;Yes
2720-WGKHP;Churned;Other;Yes
9776-CLUJA;Churned;Competitor;Yes
3551-HUAZH;Churned;Price;Yes
8634-MPHTR;Churned;Attitude;Yes
2474-BRUCM;Churned;Other;Yes
0616-ATFGB;Churned;Competitor;Yes
7235-NXZCP;Churned;Competitor;Yes
6661-HBGWL;Churned;Dissatisfaction;Yes
9317-WZPGV;Churned;Price;Yes
3621-CEOVK;Churned;Dissatisfaction;Yes
7632-MNYOY;Churned;Attitude;Yes
9248-OJYKK;Churned;Competitor;Yes
3398-FSHON;Churned;Competitor;Yes
3319-DWOEP;Churned;Competitor;Yes
0818-OCPZO;Churned;Competitor;Yes
1389-CXMLU;Churned;Competitor;Yes
5561-NWEVX;Churned;Price;Yes
2272-QAGFO;Churned;Dissatisfaction;Yes
3768-NLUBH;Churned;Dissatisfaction;Yes
7359-SSBJK;Churned;Price;Yes
0685-MLYYM;Churned;Price;Yes
7957-RYHQD;Churned;Price;Yes
6230-BSUXY;Churned;Dissatisfaction;Yes
3990-QYKBE;Churned;Competitor;Yes
9274-CNFMO;Churned;Competitor;Yes
3005-NFMTA;Churned;Price;Yes
5389-FFVKB;Churned;Dissatisfaction;Yes
8444-WRIDW;Churned;Attitude;Yes
5868-YWPDW;Churned;Dissatisfaction;Yes
1273-MTETI;Churned;Other;Yes
5480-HPRRX;Churned;Attitude;Yes
7234-FECYN;Churned;Attitude;Yes
1400-MMYXY;Churned;Attitude;Yes
7142-HVGBG;Churned;Competitor;Yes
1564-NTYXF;Churned;Attitude;Yes
0886-QGENL;Churned;Attitude;Yes
8739-WWKDU;Churned;Competitor;Yes
8685-WHQPW;Churned;Competitor;Yes
7240-FQLHE;Churned;Attitude;Yes
6664-FPDAC;Churned;Attitude;Yes
0786-VSSUD;Churned;Competitor;Yes
6583-QGCSI;Churned;Competitor;Yes
1980-KXVPM;Churned;Competitor;Yes
0723-DRCLG;Churned;Other;Yes
6894-LFHLY;Churned;Competitor;Yes
8361-LTMKD;Churned;Competitor;Yes
3841-NFECX;Stayed;;No
4929-XIHVW;Joined;;No
3413-BMNZE;Joined;;No
8012-SOUDQ;Stayed;;No
6575-SUVOI;Stayed;;No
4667-QONEA;Stayed;;No
5067-XJQFU;Stayed;;No
1891-QRQSA;Stayed;;No
2673-CXQEU;Stayed;;No
0191-ZHSKZ;Stayed;;No
2424-WVHPL;Joined;;No
5386-THSLQ;Stayed;;No
2639-UGMAZ;Stayed;;No
3146-MSEGF;Stayed;;No
1131-QQZEB;Stayed;;No
2504-DSHIH;Stayed;;No
9058-HRZSV;Stayed;;No
4522-AKYLR;Stayed;;No
0221-WMXNQ;Stayed;;No
5046-NUHWD;Stayed;;No
7529-ZDFXI;Stayed;;No
3197-ARFOY;Stayed;;No
4716-HHKQH;Stayed;;No
3179-GBRWV;Stayed;;No
4847-TAJYI;Stayed;;No
6851-WEFYX;Stayed;;No
3167-SNQPL;Stayed;;No
2799-ARNLO;Stayed;;No
5701-YVSVF;Stayed;;No
5697-GOMBF;Stayed;;No
2739-CACDQ;Stayed;;No
6035-BXTTY;Stayed;;No
0021-IKXGC;Joined;;No
4654-DLAMQ;Stayed;;No
4115-NZRKS;Stayed;;No
3351-NGXYI;Stayed;;No
8204-YJCLA;Stayed;;No
9774-NRNAU;Stayed;;No
0224-RLWWD;Joined;;No
3951-NJCVI;Stayed;;No
0177-PXBAT;Stayed;;No
2519-ERQOJ;Stayed;;No
0111-KLBQG;Stayed;;No
1996-DBMUS;Stayed;;No
2055-SIFSS;Stayed;;No
2806-MLNTI;Stayed;;No
5628-RKIFK;Stayed;;No
5760-WRAHC;Stayed;;No
1480-BKXGA;Stayed;;No
9076-AXYIK;Stayed;;No
4933-IKULF;Stayed;;No
3780-DDGSE;Stayed;;No
4612-SSVHJ;Stayed;;No
5756-OZRIO;Stayed;;No
4513-CXYIX;Stayed;;No
4332-MUOEZ;Stayed;;No
6705-LXORM;Stayed;;No
4109-CYRBD;Stayed;;No
8606-CIQUL;Stayed;;No
0356-OBMAC;Stayed;;No
1297-VQDRP;Stayed;;No
4676-MQUEA;Stayed;;No
7025-WCBNE;Stayed;;No
6030-REHUX;Stayed;;No
6522-YRBXD;Stayed;;No
6689-VRRTK;Stayed;;No
7134-MJPDY;Stayed;;No
4881-JVQOD;Stayed;;No
6797-UCJHZ;Stayed;;No
2469-DTSGX;Stayed;;No
4908-XAXAY;Stayed;;No
3509-GWQGF;Stayed;;No
3729-OWRVL;Stayed;;No
7251-LJBQN;Stayed;;No
2682-KEVRP;Stayed;;No
9978-HYCIN;Stayed;;No
8329-UTMVM;Stayed;;No
6952-OMNWB;Stayed;;No
6549-YMFAW;Stayed;;No
1307-TVUFB;Stayed;;No
7503-MIOGA;Stayed;;No
2499-AJYUA;Stayed;;No
6919-ELBGL;Stayed;;No
3966-HRMZA;Joined;;No
5671-RQRLP;Stayed;;No
4785-NKHCX;Stayed;;No
4250-WAROZ;Stayed;;No
3523-BRGUW;Stayed;;No
2123-AGEEN;Stayed;;No
1258-YMZNM;Stayed;;No
6259-WJQLC;Stayed;;No
7508-SMHXL;Stayed;;No
3956-CJUST;Stayed;;No
4824-GUCBY;Stayed;;No
6630-UJZMY;Stayed;;No
9904-EHEVJ;Stayed;;No
2826-DXLQO;Stayed;;No
9489-UTFKA;Stayed;;No
4849-PYRLQ;Stayed;;No
2858-EIMXH;Stayed;;No
6419-ZTTLE;Stayed;;No
8242-SOQUO;Stayed;;No
7460-ITWWP;Stayed;;No
7868-TMWMZ;Stayed;;No
4829-ZLJTK;Stayed;;No
8883-GRDWQ;Stayed;;No
9845-PEEKO;Stayed;;No
1751-NCDLI;Stayed;;No
2176-LVPNX;Stayed;;No
3452-ABWRL;Stayed;;No
1779-PWPMG;Stayed;;No
3082-WQRVY;Stayed;;No
2460-NGXBJ;Stayed;;No
5268-DSMNQ;Stayed;;No
6242-MBHPK;Stayed;;No
4782-OSFXZ;Stayed;;No
1282-IHQAC;Stayed;;No
1641-RQDAY;Stayed;;No
5461-QKNTN;Stayed;;No
8089-UZWLX;Stayed;;No
4468-KAZHE;Stayed;;No
1543-LLLFT;Stayed;;No
6507-ZJSUR;Stayed;;No
9220-ZNKJI;Stayed;;No
0723-VSOBE;Stayed;;No
1004-NOZNR;Stayed;;No
1251-STYSZ;Stayed;;No
9681-KYGYB;Stayed;;No
7005-CYUIL;Stayed;;No
2388-LAESQ;Stayed;;No
3108-PCCGG;Stayed;;No
6729-GDNGC;Stayed;;No
4238-HFHSN;Stayed;;No
2692-BUCFV;Stayed;;No
5651-WYIPH;Stayed;;No
8752-GHJFU;Stayed;;No
6896-SRVYQ;Stayed;;No
9052-VKDUW;Stayed;;No
2480-EJWYP;Stayed;;No
6806-YDEUL;Stayed;;No
0222-CNVPT;Stayed;;No
6048-UWKAL;Stayed;;No
9290-SHCMB;Stayed;;No
2277-BKJKN;Stayed;;No
8016-ZMGMO;Stayed;;No
1728-CXQBE;Stayed;;No
0481-SUMCB;Stayed;;No
2811-POVEX;Stayed;;No
7905-NJMXS;Stayed;;No
9957-YODKZ;Stayed;;No
3223-DWFIO;Stayed;;No
3292-PBZEJ;Stayed;;No
0993-OSGPT;Stayed;;No
7108-DGVUU;Stayed;;No
9906-NHHVC;Stayed;;No
8152-UOBNY;Stayed;;No
7351-KYHQH;Stayed;;No
6374-NTQLP;Stayed;;No
6267-DCFFZ;Stayed;;No
2439-LYPMQ;Stayed;;No
7426-WEIJX;Stayed;;No
3761-FLYZI;Stayed;;No
1060-ENTOF;Stayed;;No
0999-QXNSA;Stayed;;No
9365-SRSZE;Stayed;;No
4918-FYJNT;Stayed;;No
4854-CIDCF;Joined;;No
3280-MRDOF;Stayed;;No
6407-UTSLV;Joined;;No
5935-FCCNB;Stayed;;No
9705-IOVQQ;Stayed;;No
1320-REHCS;Stayed;;No
2057-BOYKM;Stayed;;No
0134-XWXCE;Stayed;;No
2307-FYNNL;Stayed;;No
5605-XNWEN;Stayed;;No
2519-LBNQL;Stayed;;No
8623-ULFNQ;Stayed;;No
7789-HKSBS;Stayed;;No
2070-XYMFH;Stayed;;No
5663-QBGIS;Stayed;;No
3402-XRIUO;Stayed;;No
8058-DMYRU;Stayed;;No
3537-RYBHH;Stayed;;No
0523-VNGTF;Stayed;;No
7105-MXJLL;Stayed;;No
7064-FRRSW;Stayed;;No
1636-NTNCO;Stayed;;No
3219-JQRSL;Stayed;;No
1845-CSBRZ;Stayed;;No
3723-BFBGR;Stayed;;No
5692-ICXLW;Stayed;;No
7020-OZKXZ;Stayed;;No
0308-GIQJT;Stayed;;No
8775-ERLNB;Joined;;No
8309-IEYJD;Joined;;No
7361-YPXFS;Stayed;;No
